eq_id,mainshock_mag,mainshock_depth,mainshock_lat,mainshock_lon,aftershock_count,mag_mean,mag_std,mag_max,mag_min,mag_median,mag_range,mag_diff_main_max,depth_mean,depth_std,depth_max,dist_mean,dist_std,dist_max,dist_median,spatial_spread,time_span_hours,time_mean_hours,count_24h,count_72h,ratio_24h,mc,b_value,n_mag_ge_4,n_mag_ge_5,n_mag_ge_6
20010126031640,7.6,16.0,23.42,70.23,76,4.532894736842105,0.43358607410352756,5.8,3.7,4.55,2.0999999999999996,1.7999999999999998,10.0,0.0,10.0,26.97289968717691,16.253983650047232,98.52694325024554,23.498829327386886,42.874734377641246,646.9388888888889,177.31286915204677,18,33,0.23684210526315788,4.4,1.0472349209014593,70,9,0
20021103221241,7.8,4.2,63.51,-147.45,820,3.527682926829268,0.5577192203366287,7.9,3.0,3.3,4.9,-0.10000000000000053,5.088414634146342,10.250327772214634,124.5,105.24089727257024,82.59841717695545,319.21887376619753,110.73981673672154,211.31546168823277,715.1652777777778,109.25911965811964,345,493,0.42073170731707316,3.2,0.7436904314214395,167,21,2
20031227160059,7.3,10.0,-22.02,169.77,221,4.797737556561086,0.5515460326627921,7.3,3.7,4.7,3.5999999999999996,0.0,10.794570135746605,6.837100508786815,102.4,48.4349102623566,25.04204990376764,125.94735279911676,44.42323606694855,84.26392345289965,712.1683333333333,134.7552215980025,58,81,0.26244343891402716,4.4,0.7722636102677322,219,59,12
20041226005853,9.0,30.0,3.3,95.98,1427,4.678556412053258,0.48504172022990016,9.1,3.5,4.6,5.6,-0.09999999999999964,32.47855641205325,21.976812712608073,519.1,688.0305309677414,572.2069634643968,3015.3825594574682,574.0227706095242,1212.9313278406546,743.5138888888889,244.26018457468462,306,580,0.21443587946741416,4.4,0.871992652599177,1389,325,25
20070815234057,8.0,39.0,-13.39,-76.6,153,4.648366013071896,0.5681186214121269,8.0,3.7,4.5,4.3,0.0,33.1078431372549,11.090362827046048,87.7,84.2898266601731,66.48706664405047,407.37248995859215,67.27671972723662,136.21184490473908,695.6533333333333,95.21667611489039,63,97,0.4117647058823529,4.4,0.8208986606632137,147,36,4
20080512062804,7.9,14.0,31.0,103.4,492,3.927642276422764,0.5361411070492437,6.4,3.0,3.8,3.4000000000000004,1.5,21.77156177156177,10.478484233256442,50.0,108.02681947076833,93.46974473452465,409.31429145342526,64.16728379440292,245.5264850864497,718.5430555555556,128.98423498193316,182,296,0.3699186991869919,3.3,0.6250520760745514,185,32,5
20100227080123,7.4,35.0,-37.77,-75.05,202,4.713861386138614,0.4464446353909584,7.4,4.0,4.7,3.4000000000000004,0.0,32.65841584158416,6.355706367590951,42.6,120.00875352103606,30.476321923381708,149.83308963212767,129.41410040497,146.55578596424874,617.5586111111111,143.34661335578002,67,105,0.3316831683168317,4.4,0.8827566633416158,202,46,2
20110311054624,9.1,29.0,38.3,142.37,3387,4.672925893120756,0.4503409804155312,9.1,4.0,4.6,5.1,0.0,32.80614112784175,24.24927389429453,501.7,279.27403328674967,431.53983580551755,3004.2234002059295,179.56043187443868,343.23330871334815,743.3705555555556,173.90624680262098,676,1427,0.19958665485680543,4.6,1.084953922826356,3387,630,65
20120411083836,8.6,20.0,2.33,93.06,511,4.609001956947162,0.4594700235490904,8.6,3.7,4.6,4.8999999999999995,0.0,15.162230919765166,14.661730545089588,133.0,285.1484311265543,230.9640648917865,1177.3353491848675,200.07267345024414,698.1121914164844,707.7283333333334,140.95926183678324,187,268,0.3659491193737769,4.4,0.9925164296021308,509,82,4
20130420000246,6.6,13.0,30.3,103.0,134,3.551492537313433,0.6358370995062237,7.0,3.0,3.3,4.0,-0.40000000000000036,15.843283582089553,2.4459972712422395,21.0,11.584132403011262,8.289313709693436,62.580797279202535,9.835878322371553,23.15077190802614,630.9444444444445,85.52659511784513,67,100,0.5,3.1,0.7259467879321206,27,5,1
