time,latitude,longitude,depth,mag,magType,place,year,month
2024-04-22 18:26:52.852000+00:00,23.7141,121.6599,9.0,6.1,mww,"29 km S of Hualien City, Taiwan",2024,4
2024-04-17 14:14:46.694000+00:00,33.2503,132.3647,32.0,6.3,mww,"18 km W of Uwajima, Japan",2024,4
2024-04-14 20:56:28.201000+00:00,-5.8565,151.0953,49.0,6.5,mww,"111 km ESE of Kimbe, Papua New Guinea",2024,4
2024-04-09 09:47:59.810000+00:00,2.6982,127.0624,22.0,6.4,mww,"150 km NW of Tobelo, Indonesia",2024,4
2024-04-04 03:16:30.313000+00:00,37.7104,141.856,29.0,6.1,mww,"77 km E of Minami-Sōma, Japan",2024,4
2024-04-03 00:11:25.266000+00:00,24.1021,121.6812,13.931,6.4,mww,"15 km NNE of Hualien City, Taiwan",2024,4
2024-04-02 23:58:12.173000+00:00,23.8356,121.5976,40.0,7.4,mww,"15 km S of Hualien City, Taiwan",2024,4
2024-04-02 09:54:08.569000+00:00,15.8146,146.8779,10.0,6.2,mww,"137 km ENE of Saipan, Northern Mariana Islands",2024,4
2024-03-27 01:28:17.689000+00:00,-21.0715,173.7373,10.0,6.4,mww,Vanuatu region,2024,3
2024-03-23 20:22:04.348000+00:00,-4.1292,143.134,41.464,6.9,mww,"36 km ENE of Ambunti, Papua New Guinea",2024,3
2024-03-22 08:52:58.999000+00:00,-5.8754,112.3646,9.471,6.4,mww,"110 km N of Paciran, Indonesia",2024,3
2024-03-14 21:10:24.786000+00:00,29.7971,-42.6608,10.0,6.2,mww,northern Mid-Atlantic Ridge,2024,3
2024-03-13 15:13:22.779000+00:00,-5.831,150.6843,44.0,6.0,mww,"68 km ESE of Kimbe, Papua New Guinea",2024,3
2024-03-05 19:52:52.612000+00:00,-59.1953,158.7607,10.0,6.1,mww,Macquarie Island region,2024,3
2024-03-03 16:16:53.995000+00:00,-58.8881,159.1441,23.187,6.8,mww,Macquarie Island region,2024,3
2024-02-23 01:51:13.973000+00:00,-35.0892,-110.7745,10.0,6.3,mww,southern East Pacific Rise,2024,2
2024-02-14 11:40:22.125000+00:00,11.0047,138.5725,14.0,6.0,mww,"171 km NNE of Colonia, Micronesia",2024,2
2024-02-09 10:57:48.482000+00:00,-29.9268,-177.2323,13.0,6.1,mww,"Kermadec Islands, New Zealand",2024,2
2024-01-23 14:33:45.022000+00:00,-17.9827,168.0499,31.0,6.3,mww,"39 km SW of Port-Vila, Vanuatu",2024,1
2024-01-22 18:09:04.340000+00:00,41.2555,78.6538,13.0,7.0,mww,"128 km WNW of Aykol, China",2024,1
2024-01-20 22:09:39.708000+00:00,-39.93,46.1966,10.0,6.2,mww,Southwest Indian Ridge,2024,1
2024-01-08 20:48:42.361000+00:00,4.9225,126.1575,62.574,6.7,mww,"93 km SE of Sarangani, Philippines",2024,1
2024-01-01 07:18:41.584000+00:00,37.1895,136.8272,10.0,6.2,mb,"8 km SW of Anamizu, Japan",2024,1
2024-01-01 07:10:09.476000+00:00,37.4874,137.271,10.0,7.5,mww,"2024 Noto Peninsula, Japan Earthquake",2024,1
2023-12-30 17:16:23.833000+00:00,-2.9934,139.372,33.0,6.3,mww,"146 km WSW of Abepura, Indonesia",2023,12
2023-12-28 09:15:16.131000+00:00,44.596,149.0388,31.0,6.5,mww,"115 km SE of Kuril’sk, Russia",2023,12
2023-12-22 17:36:32.014000+00:00,-52.0879,27.9516,10.0,6.1,mww,south of Africa,2023,12
2023-12-21 14:55:56.291000+00:00,51.2097,-175.3313,20.0,6.1,mww,"116 km SE of Adak, Alaska",2023,12
2023-12-07 12:56:30.184000+00:00,-20.6152,169.3089,48.0,7.1,mww,"118 km S of Isangel, Vanuatu",2023,12
2023-12-03 19:49:35.739000+00:00,8.9705,126.6121,20.0,6.9,mww,"34 km ENE of Aras-asan, Philippines",2023,12
2023-12-03 14:35:56.830000+00:00,8.732,126.823,13.0,6.0,mww,"58 km E of Marihatag, Philippines",2023,12
2023-12-03 10:35:52.871000+00:00,8.488,126.7454,19.0,6.6,mww,"47 km ENE of Hinatuan, Philippines",2023,12
2023-12-02 20:52:15.877000+00:00,8.4475,126.7782,9.0,6.0,mww,"49 km NE of Barcelona, Philippines",2023,12
2023-12-02 18:09:25.972000+00:00,8.4402,126.9387,46.378,6.3,mww,"63 km ENE of Barcelona, Philippines",2023,12
2023-12-02 17:40:15.233000+00:00,8.423,126.722,36.091,6.1,mb,"41 km NE of Barcelona, Philippines",2023,12
2023-12-02 16:03:41.167000+00:00,8.4377,126.757,35.0,6.4,mww,"47 km NE of Barcelona, Philippines",2023,12
2023-12-02 14:37:04.454000+00:00,8.5266,126.4161,40.0,7.6,mww,"19 km E of Gamut, Philippines",2023,12
2023-11-27 21:46:42.183000+00:00,-3.5605,144.0313,10.0,6.5,mww,"44 km E of Wewak, Papua New Guinea",2023,11
2023-11-24 09:05:03.893000+00:00,20.1319,145.5195,22.163,6.9,mww,"Maug Islands region, Northern Mariana Islands",2023,11
2023-11-22 04:47:31.590000+00:00,-14.9603,167.9718,13.0,6.7,mww,"97 km E of Port-Olry, Vanuatu",2023,11
2023-11-17 08:14:10.513000+00:00,5.5627,125.0013,52.0,6.7,mww,"32 km SW of Kablalan, Philippines",2023,11
2023-11-14 07:00:56.463000+00:00,-4.033,87.1044,9.0,6.1,mww,South Indian Ocean,2023,11
2023-11-13 07:43:34.115000+00:00,-3.8855,151.067,10.0,6.1,mww,"126 km WNW of Rabaul, Papua New Guinea",2023,11
2023-11-10 20:45:11.772000+00:00,-6.0976,130.0606,9.969,6.1,mww,Banda Sea,2023,11
2023-11-08 13:02:06.115000+00:00,-6.131,129.8738,10.0,6.7,mww,Banda Sea,2023,11
2023-11-08 04:53:49.631000+00:00,-6.416,129.5466,6.0,7.1,mww,Banda Sea,2023,11
2023-11-08 04:52:51.393000+00:00,-6.4442,129.7518,10.0,6.7,mwb,Banda Sea,2023,11
2023-11-01 21:04:48.023000+00:00,-10.0561,123.7541,51.0,6.1,mww,"20 km NE of Kupang, Indonesia",2023,11
2023-10-31 12:33:43.732000+00:00,-28.7431,-71.5573,34.0,6.6,mww,"80 km WSW of Vallenar, Chile",2023,10
2023-10-29 04:32:07.316000+00:00,-19.3871,168.8034,68.0,6.0,mww,"53 km WNW of Isangel, Vanuatu",2023,10
2023-10-23 10:10:14.193000+00:00,-29.9334,-177.45,19.0,6.0,mww,"Kermadec Islands, New Zealand",2023,10
2023-10-15 03:36:00.454000+00:00,34.6529,62.1244,9.0,6.3,mww,"34 km NNW of Herāt, Afghanistan",2023,10
2023-10-11 20:04:58.206000+00:00,-52.0446,139.6131,10.0,6.3,mww,west of Macquarie Island,2023,10
